id,name
Q300949,hyperoodon ampullatus
Q302215,shinisaurus crocodilurus
Q302898,kinixys erosa
Q466597,arctocephalus pusillus
Q578712,varanus jobiensis
Q620592,corallus caninus
Q666850,chinchilla chinchilla
Q702952,troides aeacus
Q766922,tyto rosenbergii
Q843278,melierax metabates
Q853412,phoebastria albatrus
Q857888,campylopterus largipennis
Q863148,eos cyanogenia
Q869331,glaucidium costaricanum
Q873915,uroplatus phantasticus
Q883005,cercopithecus cephus
Q913090,deroptyus accipitrinus
Q948184,varanus timorensis
Q1016718,rhinopithecus strykeri
Q1035118,heliodoxa aurescens
Q1206148,euoticus pallidus
Q1216004,tropidophis maculatus
Q1234517,pfeiffera paranganiensis
Q1259321,campylopterus ensipennis
Q1262808,otus mentawi
Q1266827,megascops watsonii
Q1267335,prioniturus platurus
Q1267407,phaethornis griseogularis
Q1590689,paradigalla brevicauda
Q1768580,pteropus macrotis
Q1935283,crypthelia affinis
Q1954808,phelsuma barbouri
Q2122042,lutra nippon
Q2297762,crypthelia lacunosa
Q2354956,hippocampus montebelloensis
Q2386158,errina sinuosa
Q2633511,hippocampus kelloggi
Q2655234,homalopsis buccata
Q2717334,kinyongia fischeri
Q2747395,stylaster horologium
Q2785489,eusmilia fastigiata
Q2926144,brookesia ramanantsoai
Q3378693,phelsuma ravenala
Q3931946,flabellum japonicum
Q3932073,hydnophora rigida
Q3934152,cantharellus jebbi
Q3935614,polymyces montereyensis
Q3936620,polymyces wellsi
Q3937224,flabellum impensum
Q3937268,cyathotrochus herdmani
Q3942290,trochocyathus hastatus
Q3942991,truncatoflabellum carinatum
Q3945035,acropora elegans
Q3945092,flabellum transversale
Q3948256,balanophyllia dineta
Q3949939,balanophyllia stimpsonii
Q3950161,montipora peltiformis
Q3952886,sphenotrochus excavatus
Q3953220,pectinia teres
Q3953712,madracis formosa
Q3955668,falcatoflabellum raoulensis
Q3955779,balanophyllia malouiensis
Q3956078,heteropsammia cochlea
Q4013032,umbellapathes bipinnata
Q4817672,atrophaneura palu
Q5079972,calumma capuroni
Q5086583,chamaeleo quilensis
Q5121987,cirrhaea dependens
Q5292328,antipathes erinaceus
Q5382840,epidendrum vesicatum
Q10809489,pteropus banakrisi
Q14158900,porites columnaris
Q15287819,campylocentrum spannagelii
Q15443824,pleurothallis tetroxys
Q15444244,pleurothallis volans
Q15445819,polystachya henrici
Q15469444,lycaste measuresiana
Q15474869,mystacidium tanganyikense
Q15481735,habenaria longitheca
Q15484639,lepanthes capitana
Q15485239,lepanthes carinata
Q15486144,lepanthes elegantula
Q15487042,lepanthes cassidea
Q15487431,podochilus cultratus
Q15487486,polycycnis silvana
Q15487784,polycycnis villegasiana
Q15492587,liparis anthericoides
Q15494741,chaubardiella subquadrata
Q15494907,polycycnis annectans
Q15496576,lepanthes imbricans
Q15500944,notylia peruviana
Q21283079,charmosyna aureicincta
Q24248519,phelsuma ocellata
Q27680682,andinobates fulguritus
Q28053216,ranitomeya flavovittata
Q28816510,liparis propinqua
Q64146441,taprobanea spathulata
Q27929,mesoplodon traversii
Q40261,trichechus manatus
Q47910,rhinoceros unicornis
Q57605,amazilia viridifrons
Q77332,galago senegalensis
Q114937,saguinus imperator
Q128039,accipiter meyerianus
Q132394,varanus bitatawa
Q135148,phalanger mimicus
Q138115,bhutanitis ludlowi
Q148930,pristis perotteti
Q149920,trachyphyllia geoffroyi
Q191683,anthropoides virgo
Q192421,leopardus wiedii
Q269728,manis javanica
Q285813,presbytis comata
Q308587,achatinella bulimoides
Q386871,icthyophaga humilis
Q490242,glaucidium jardinii
Q521821,heliothryx auritus
Q551900,pteropus insularis
Q572638,crax rubra
Q572781,phelsuma standingi
Q575671,hapalemur alaotrensis
Q578652,podarcis pityusensis
Q609129,rhyticeros narcondami
Q617739,graptemys ouachitensis
Q635949,zaglossus bruijni
Q693246,presbytis natunae
Q746008,heosemys depressa
Q748957,polyplectron bicalcaratum
Q766568,semioptera wallacii
Q819679,galago orinus
Q839828,lontra longicaudis
Q924326,aceros nipalensis
Q959172,dracaena guianensis
Q965015,tupaia moellendorffi
Q998729,anthracothorax nigricollis
Q1054263,mauremys pritchardi
Q1080395,lophornis chalybeus
Q1127481,consolea spinosissima
Q1193333,rhacodactylus leachianus
Q1260153,loriculus vernalis
Q1266171,ninox punctulata
Q1266632,megascops barbarus
Q1267514,megascops marshalli
Q1272519,accipiter castanilius
Q1273322,bubo leucostictus
Q1353794,lagothrix poeppigii
Q1945329,amyda cartilaginea
Q2104559,psammobates tentorius
Q2213213,errina dendyi
Q2236751,stylaster microstriatus
Q2302528,terrapene ornata
Q2404136,tephrocactus alexanderi
Q2621887,lepidotheca pourtalesi
Q2653514,crypthelia glebulenta
Q2668244,niltava davidi
Q2673571,hippocampus capensis
Q2712717,brookesia peyrierasi
Q2717987,xenochrophis piscator
Q3319348,achatinella byronii
Q3329502,crypthelia vascomarquesi
Q3407839,prosthechea glauca
Q3552371,uromastyx occidentalis
Q3552376,uromastyx yemenensis
Q3554675,varanus marmoratus
Q3936643,mycetophyllia daniana
Q3936721,pourtalosmilia conferta
Q3937350,alveopora allingi
Q3938547,leptopsammia formosa
Q3938792,platytrochus laevigatus
Q3939065,paracyathus pruinosus
Q3939286,flabellum atlanticum
Q3939843,stephanophyllia neglecta
Q3940201,colangia moseleyi
Q3940265,fungia cyclolites
Q3941233,coscinaraea mcneilli
Q3942734,montipora edwardsi
Q3944890,rhizotrochus typus
Q3944978,stephanocyathus coronatus
Q3945780,stephanocyathus weberianus
Q3946152,rhizopsammia nuda
Q3946987,endopsammia regularis
Q3948430,astrangia equatorialis
Q3952463,madracis singularis
Q3953037,plesiastrea devantieri
Q3955310,turbinaria peltata
Q3956012,montipora verrucosa
Q3998713,cirrhipathes densiflora
Q4004220,stauropathes arctica
Q4004368,parantipathes helicosticha
Q4009827,asteriopathes colini
Q4010624,myriopathes lata
Q5199084,cyclura cornuta onchiopsis
Q13380334,antipathes dubia
Q17271566,echinopsis rowleyi
Q22111293,crocodylus cataphractus
Q41793352,borzicactus sepium
Q42751547,morangaya pensilis
Q136842,lamna nasus
Q141967,escobaria sneedii
Q146854,pilosocereus aureispinus
Q150548,nepenthes singalana
Q159279,pseudorchis albida
Q267343,bulbophyllum sanguineum
Q291127,weberocereus tunilla
Q309570,micranthocereus streckeri
Q788101,cervus elaphus barbarus
Q1049318,heloderma horridum charlesbogerti
Q1131138,copiapoa bridgesii
Q1135911,coryphantha pycnacantha
Q1194889,aloe ferox
Q1280376,echinocereus freudenbergeri
Q1334749,euphorbia kamponii
Q1335578,euphorbia martinae
Q1367223,escobaria albicolumnaria
Q1368905,pterocactus tuberosus
Q1464151,parodia ritteri
Q1930232,dalbergia cochinchinensis
Q2027526,opuntia anacantha
Q2027678,opuntia pubescens
Q2342870,stenocereus quevedonis
Q2416664,thelocactus macdowellii
Q2484363,equus zebra zebra
Q2553463,weberbauerocereus johnsonii
Q2649995,aloe guerrae
Q3512326,zamia pygmaea
Q3774260,grammangis ellisii
Q3943466,goniastrea pectinata
Q4818761,tympanuchus cupido attwateri
Q4987380,bulbophyllum antioquiense
Q4987619,bulbophyllum chloropterum
Q4987660,bulbophyllum cocoinum
Q4987852,bulbophyllum discilabium
Q4987883,bulbophyllum echinochilum
Q4987891,bulbophyllum edentatum
Q4988171,bulbophyllum hirudiniferum
Q4988282,bulbophyllum kegelii
Q4994904,bulbophyllum lancilabium
Q4995259,bulbophyllum nipondhii
Q4995380,bulbophyllum papuliferum
Q4995563,bulbophyllum quinquelobum
Q4995723,bulbophyllum sepikense
Q4995797,bulbophyllum stenurum
Q4996046,bulbophyllum windsorense
Q5018537,calanthe densiflora
Q5051516,catasetum globiflorum
Q5051518,catasetum laminatum
Q5304721,dracula radiosa
Q5485186,euphorbia glochidiata
Q5488085,epioblasma torulosa rangiana
Q6130624,sobralia bletiae
Q6296530,pholidota chinensis
Q7598880,stanhopea embreei
Q9585146,aerangis pulchella
Q9606317,aloe itremensis
Q10266910,disa danielae
Q10389161,vanilla walkeriae
Q11144158,bulbophyllum bomiense
Q15287252,aerangis verdickii
Q15288453,coelogyne yiii
Q15334194,corryocactus cuajonesensis
Q15335326,mila colorea
Q15342263,diospyros olacinoides
